starttime	seconds	ctime	dtime	ttime	wait
Thu Oct 19 22:21:05 2023	1697754065	4	135	139	135
Thu Oct 19 22:21:05 2023	1697754065	4	135	140	135
Thu Oct 19 22:21:05 2023	1697754065	5	135	140	135
Thu Oct 19 22:21:05 2023	1697754065	4	137	141	137
Thu Oct 19 22:21:05 2023	1697754065	4	136	141	136
Thu Oct 19 22:21:05 2023	1697754065	4	137	141	137
Thu Oct 19 22:21:05 2023	1697754065	5	138	143	138
Thu Oct 19 22:21:05 2023	1697754065	4	139	143	139
Thu Oct 19 22:21:05 2023	1697754065	4	139	143	139
Thu Oct 19 22:21:05 2023	1697754065	4	139	144	139
Thu Oct 19 22:21:05 2023	1697754065	4	140	144	140
Thu Oct 19 22:21:05 2023	1697754065	4	140	145	140
Thu Oct 19 22:21:05 2023	1697754065	4	141	145	141
Thu Oct 19 22:21:05 2023	1697754065	4	141	146	141
Thu Oct 19 22:21:05 2023	1697754065	4	142	146	142
Thu Oct 19 22:21:05 2023	1697754065	4	142	147	142
Thu Oct 19 22:21:05 2023	1697754065	4	143	147	143
Thu Oct 19 22:21:05 2023	1697754065	4	143	147	143
Thu Oct 19 22:21:05 2023	1697754065	4	144	148	144
Thu Oct 19 22:21:05 2023	1697754065	4	144	148	144
Thu Oct 19 22:21:05 2023	1697754065	4	145	148	145
Thu Oct 19 22:21:05 2023	1697754065	4	145	149	145
Thu Oct 19 22:21:05 2023	1697754065	4	146	150	146
Thu Oct 19 22:21:05 2023	1697754065	4	146	150	146
Thu Oct 19 22:21:05 2023	1697754065	4	147	151	147
Thu Oct 19 22:21:05 2023	1697754065	4	148	152	148
Thu Oct 19 22:21:05 2023	1697754065	4	148	152	148
Thu Oct 19 22:21:05 2023	1697754065	0	152	152	152
Thu Oct 19 22:21:05 2023	1697754065	4	149	153	149
Thu Oct 19 22:21:05 2023	1697754065	4	149	153	149
Thu Oct 19 22:21:05 2023	1697754065	0	153	153	153
Thu Oct 19 22:21:05 2023	1697754065	4	150	154	150
Thu Oct 19 22:21:05 2023	1697754065	4	150	154	150
Thu Oct 19 22:21:05 2023	1697754065	4	151	154	151
Thu Oct 19 22:21:06 2023	1697754066	0	154	154	154
Thu Oct 19 22:21:05 2023	1697754065	0	154	154	154
Thu Oct 19 22:21:06 2023	1697754066	0	154	154	154
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:05 2023	1697754065	4	152	155	152
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	155	155	155
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
Thu Oct 19 22:21:06 2023	1697754066	0	156	156	156
